Hole Depth,Weight on Bit,Rate Of Penetration
6486,21.9,80.92
6487,9.3,43.1
6488,16.6,99.4
6489,19.1,99.92
6490,19.7,100.35
6491,20,100.43
6492,22,99.92
6493,22.7,99.75
6494,23.5,99.38
6495,23.4,99.79
6496,23.2,100.3
6497,21.6,100.18
6498,22.8,99.79
6499,23.1,99.76
6500,23,99.67
6501,24,100.09
6502,23.3,99.67
6503,23,100.1
6504,22.6,99.75
6505,22.5,100.01
6506,22.6,100.01
6507,24.3,112.13
6508,26.8,124.26
6509,27.7,124.43
6510,27.7,115.13
6511,28,108.63
6512,27,131.87
6513,26.8,131.95
6514,30.4,143.65
6515,30.9,145.02
6516,31.5,119.7
6517,29.9,132.97
6518,13.6,124.51
6519,13.6,122.89
6520,13.4,124.51
6521,12.9,127.07
6522,12.7,123.05
6523,13.2,122.97
6524,12.7,121.52
6525,19.1,121.87
6526,19.1,115.55
6527,18.5,109.16
6528,0,49.09
6529,0,49.87
6530,0,49.41
6531,0,49.71
6532,0,49.69
6533,0,49.5
6534,0,49.72
6535,0,49.92
6536,0,49.69
6537,0,49.52
6538,0,49.63
6539,0,49.62
6540,0,49.68
6541,0,74.88
6542,0.5,75.51
6543,3.4,75.49
6544,3.6,75.51
6545,3.2,75.34
6546,3.4,75.26
6547,2.2,74.73
6548,3.1,75.29
6549,0.7,75.4
6550,3.8,101.61
6551,11,124.39
6552,16.1,138.07
6553,18.9,137.21
6554,19.4,135.76
6555,18.6,126.62
6556,20,133.15
6557,21.3,132.25
6558,20.6,106.8
6559,19.9,136.99
6560,20.1,140.24
6561,20,117.52
6562,19.2,129.9
6563,19.3,129.46
6564,19.3,121.05
6565,19.1,122.05
6566,19.2,127.44
6567,19.1,121.19
6568,19.2,120.93
6569,19,121.36
6570,19.2,116.07
6571,19,122.29
6572,19.5,111.11
6573,18.7,116.15
6574,18.3,119.56
6575,18.4,120.16
6576,18.1,119.57
6577,18.4,118.54
6578,18.6,115.38
6579,19,109.58
6580,18.6,110.94
6581,18.6,110.43
6582,3.4,99.7
6583,12,148.35
6584,15.4,148.26
6585,15.7,134.01
6586,15.6,120.77
6587,16.2,117.26
6588,15.4,118.27
6589,16.4,120.5
6590,14.8,124.18
6591,15.2,127.25
6592,16,119.5
6593,15.8,108.54
6594,16.1,111.54
6595,16.1,115.8
6596,16.3,109.75
6597,15.9,115.3
6598,15.7,116.91
6599,16,120.59
6600,16,116.31
6601,15.8,118.96
6602,16.1,119.65
6603,16,119.57
6604,16.4,119.65
6605,16.7,108.23
6606,16.2,109.16
6607,16,123.32
6608,16.1,123.58
6609,0,48.15
6610,0,50.45
6611,0,74.34
6612,0,74.52
6613,0,73.19
6614,0,75.48
6615,0.9,75.34
6616,0.4,75.14
6617,0.4,75.22
6618,0,60.81
6619,0,88.87
6620,7.1,132.87
6621,12.9,147.98
6622,14.9,149.27
6623,13.1,150.48
6624,13.8,150.38
6625,13.9,150.73
6626,15.1,155.49
6627,16.5,156.12
6628,15.1,147.75
6629,15.7,147.75
6630,16.5,143.14
6631,15.2,142.87
6632,15.2,144.75
6633,4.9,41.08
6634,0.8,75.49
6635,0,75.49
6636,1.3,75.49
6637,0,75.51
6638,0,75.49
6639,0,75.49
6640,0,75.47
6641,4.1,75.49
6642,12.8,74.96
6643,13.7,75.26
6644,7,115.9
6645,11.1,137.04
6646,15.1,161.08
6647,15.4,160.82
6648,15.3,146.48
6649,15,148.36
6650,15.1,146.73
6651,16.6,143.11
6652,16.9,133.17
6653,16.8,129.99
6654,14.4,166.28
6655,15.6,165.77
6656,15.1,133.64
6657,15,133.73
6658,15,130.15
6659,14.5,137.58
6660,14.2,136.38
6661,15.1,136.55
6662,14.6,123.91
6663,14.5,121.35
6664,14.9,125.28
6665,14.2,125.51
6666,14.4,125.43
6667,13.6,131.16
6668,13.4,133.66
6669,13.9,132.83
6670,13.9,127.34
6671,13.9,124.95
6672,13.5,152.44
6673,13.3,138.01
6674,13.6,135.44
6675,13.9,135.1
6676,16.8,51.09
6677,29.8,167.69
6678,34.2,169.19
6679,35,168.59
6680,13.6,48.85
6681,12.7,48.84
6682,12.4,48.75
6683,10,20.58
6684,9.7,19.25
6685,11.7,74.63
6686,14.4,91.81
6687,16.7,99.92
6688,19.4,100.09
6689,19.1,100.09
6690,19.8,100.09
6691,19.6,100.22
6692,21.6,99.84
6693,18.1,94.03
6694,12.4,48.45
6695,12.5,48.64
6696,10.6,48.67
