Attribute,Value
Hole Depth (km),7.875
Hole Depth (km),11.481
Hole Depth (km),7.876
Hole Depth (km),11.455
Hole Depth (km),7.902
Hole Depth (km),11.454
Hole Depth (km),7.903
Hole Depth (km),11.456
Hole Depth (km),7.9
Hole Depth (km),11.458
Hole Depth (km),7.901
Hole Depth (km),11.457
Hole Depth (km),7.904
Hole Depth (km),11.45
Hole Depth (km),7.907
Hole Depth (km),11.449
Hole Depth (km),7.908
Hole Depth (km),11.451
Hole Depth (km),7.905
Hole Depth (km),11.453
Hole Depth (km),7.906
Hole Depth (km),11.452
Hole Depth (km),7.899
Hole Depth (km),11.465
Hole Depth (km),7.892
Hole Depth (km),11.464
Hole Depth (km),7.893
Hole Depth (km),11.466
Hole Depth (km),7.89
Hole Depth (km),11.468
Hole Depth (km),7.891
Hole Depth (km),11.467
Hole Depth (km),7.894
Hole Depth (km),11.46
Hole Depth (km),7.897
Hole Depth (km),11.459
Hole Depth (km),7.898
Hole Depth (km),11.461
Hole Depth (km),7.895
Hole Depth (km),11.463
Hole Depth (km),7.896
Hole Depth (km),11.462
Hole Depth (km),8.1
Hole Depth (km),11.044
Hole Depth (km),8.312
Hole Depth (km),11.043
Hole Depth (km),8.313
Hole Depth (km),11.045
Hole Depth (km),8.31
Hole Depth (km),11.047
Hole Depth (km),8.311
Hole Depth (km),11.046
Hole Depth (km),8.314
Hole Depth (km),11.039
Hole Depth (km),8.317
Hole Depth (km),11.038
Hole Depth (km),8.318
Hole Depth (km),11.04
Hole Depth (km),8.315
Hole Depth (km),11.042
Hole Depth (km),8.316
Hole Depth (km),11.041
Hole Depth (km),8.309
Hole Depth (km),11.054
Hole Depth (km),8.302
Hole Depth (km),11.053
Hole Depth (km),8.303
Hole Depth (km),11.055
Hole Depth (km),8.3
Hole Depth (km),11.057
Hole Depth (km),8.301
Hole Depth (km),11.056
Hole Depth (km),8.304
Hole Depth (km),11.049
Hole Depth (km),8.307
Hole Depth (km),11.048
Hole Depth (km),8.308
Hole Depth (km),11.05
Hole Depth (km),8.305
Hole Depth (km),11.052
Hole Depth (km),8.306
Hole Depth (km),11.051
Hole Depth (km),8.332
Hole Depth (km),11.025
Hole Depth (km),8.333
Hole Depth (km),11.024
Hole Depth (km),8.331
Hole Depth (km),11.027
Hole Depth (km),8.329
Hole Depth (km),11.026
Hole Depth (km),8.33
Hole Depth (km),11.023
Hole Depth (km),8.337
Hole Depth (km),11.02
Hole Depth (km),8.338
Hole Depth (km),11.019
Hole Depth (km),8.336
Hole Depth (km),11.022
Hole Depth (km),8.334
Hole Depth (km),11.021
Hole Depth (km),8.335
Hole Depth (km),11.028
Hole Depth (km),8.322
Hole Depth (km),11.035
Hole Depth (km),8.323
Hole Depth (km),11.034
Hole Depth (km),8.321
Hole Depth (km),11.037
Hole Depth (km),8.319
Hole Depth (km),11.036
Hole Depth (km),8.32
Hole Depth (km),11.033
Hole Depth (km),8.327
Hole Depth (km),11.03
Hole Depth (km),8.328
Hole Depth (km),11.029
Hole Depth (km),8.326
Hole Depth (km),11.032
Hole Depth (km),8.324
Hole Depth (km),11.031
Hole Depth (km),8.325
Hole Depth (km),8.299
Hole Depth (km),8.273
Hole Depth (km),11.084
Hole Depth (km),8.274
Hole Depth (km),11.083
Hole Depth (km),8.272
Hole Depth (km),11.086
Hole Depth (km),8.27
Hole Depth (km),11.085
Hole Depth (km),8.271
Hole Depth (km),11.082
Hole Depth (km),8.278
Hole Depth (km),11.079
Hole Depth (km),8.279
Hole Depth (km),11.078
Hole Depth (km),8.277
Hole Depth (km),11.081
Hole Depth (km),8.275
Hole Depth (km),11.08
Hole Depth (km),8.276
Hole Depth (km),11.087
Hole Depth (km),8.263
Hole Depth (km),11.094
Hole Depth (km),8.264
Hole Depth (km),11.093
Hole Depth (km),8.262
Hole Depth (km),11.096
Hole Depth (km),8.26
Hole Depth (km),11.095
Hole Depth (km),8.261
Hole Depth (km),11.092
Hole Depth (km),8.268
Hole Depth (km),11.089
Hole Depth (km),8.269
Hole Depth (km),11.088
Hole Depth (km),8.267
Hole Depth (km),11.091
Hole Depth (km),8.265
Hole Depth (km),11.09
Hole Depth (km),8.266
Hole Depth (km),11.064
Hole Depth (km),8.292
Hole Depth (km),11.063
Hole Depth (km),8.293
Hole Depth (km),11.065
Hole Depth (km),8.29
Hole Depth (km),11.067
Hole Depth (km),8.291
Hole Depth (km),11.066
Hole Depth (km),8.294
Hole Depth (km),11.059
Hole Depth (km),8.297
Hole Depth (km),11.058
Hole Depth (km),8.298
Hole Depth (km),11.06
Hole Depth (km),8.295
Hole Depth (km),11.062
Hole Depth (km),8.296
Hole Depth (km),11.061
Hole Depth (km),8.289
Hole Depth (km),11.074
Hole Depth (km),8.282
Hole Depth (km),11.073
Hole Depth (km),8.283
Hole Depth (km),11.075
Hole Depth (km),8.28
Hole Depth (km),11.077
Hole Depth (km),8.281
Hole Depth (km),11.076
Hole Depth (km),8.284
Hole Depth (km),11.069
Hole Depth (km),8.287
Hole Depth (km),11.068
Hole Depth (km),8.288
Hole Depth (km),11.07
Hole Depth (km),8.285
Hole Depth (km),11.072
Hole Depth (km),8.286
Hole Depth (km),11.071
Hole Depth (km),11.018
Hole Depth (km),10.965
Hole Depth (km),8.394
Hole Depth (km),10.964
Hole Depth (km),8.395
Hole Depth (km),10.966
Hole Depth (km),8.392
Hole Depth (km),10.968
Hole Depth (km),8.393
Hole Depth (km),10.967
Hole Depth (km),8.396
Hole Depth (km),10.96
Hole Depth (km),8.399
Hole Depth (km),10.959
Hole Depth (km),8.4
Hole Depth (km),10.961
Hole Depth (km),8.397
Hole Depth (km),10.963
Hole Depth (km),8.398
Hole Depth (km),10.962
Hole Depth (km),8.391
Hole Depth (km),10.975
Hole Depth (km),8.381
Hole Depth (km),10.974
Hole Depth (km),8.385
Hole Depth (km),10.976
Hole Depth (km),8.379
Hole Depth (km),10.978
Hole Depth (km),8.38
Hole Depth (km),10.977
Hole Depth (km),8.386
Hole Depth (km),10.97
Hole Depth (km),8.389
Hole Depth (km),10.969
Hole Depth (km),8.39
Hole Depth (km),10.971
Hole Depth (km),8.387
Hole Depth (km),10.973
Hole Depth (km),8.388
Hole Depth (km),10.972
Hole Depth (km),8.414
Hole Depth (km),10.946
Hole Depth (km),8.415
Hole Depth (km),10.945
Hole Depth (km),8.413
Hole Depth (km),10.948
Hole Depth (km),8.411
Hole Depth (km),10.947
Hole Depth (km),8.412
Hole Depth (km),10.944
Hole Depth (km),8.419
Hole Depth (km),10.941
Hole Depth (km),8.42
Hole Depth (km),10.94
Hole Depth (km),8.418
Hole Depth (km),10.943
Hole Depth (km),8.416
Hole Depth (km),10.942
Hole Depth (km),8.417
Hole Depth (km),10.949
Hole Depth (km),8.404
Hole Depth (km),10.956
Hole Depth (km),8.405
Hole Depth (km),10.955
Hole Depth (km),8.403
Hole Depth (km),10.958
Hole Depth (km),8.401
Hole Depth (km),10.957
Hole Depth (km),8.402
Hole Depth (km),10.954
Hole Depth (km),8.409
Hole Depth (km),10.951
Hole Depth (km),8.41
Hole Depth (km),10.95
Hole Depth (km),8.408
Hole Depth (km),10.953
Hole Depth (km),8.406
Hole Depth (km),10.952
Hole Depth (km),8.407
Hole Depth (km),8.378
Hole Depth (km),8.352
Hole Depth (km),11.005
Hole Depth (km),8.353
Hole Depth (km),11.004
Hole Depth (km),8.351
Hole Depth (km),11.007
Hole Depth (km),8.349
Hole Depth (km),11.006
Hole Depth (km),8.35
Hole Depth (km),11.003
Hole Depth (km),8.357
Hole Depth (km),11
Hole Depth (km),8.358
Hole Depth (km),10.999
Hole Depth (km),8.356
Hole Depth (km),11.002
Hole Depth (km),8.354
Hole Depth (km),11.001
Hole Depth (km),8.355
Hole Depth (km),11.008
Hole Depth (km),8.342
Hole Depth (km),11.015
Hole Depth (km),8.343
Hole Depth (km),11.014
Hole Depth (km),8.341
Hole Depth (km),11.017
Hole Depth (km),8.339
Hole Depth (km),11.016
Hole Depth (km),8.34
Hole Depth (km),11.013
Hole Depth (km),8.347
Hole Depth (km),11.01
Hole Depth (km),8.348
Hole Depth (km),11.009
Hole Depth (km),8.346
Hole Depth (km),11.012
Hole Depth (km),8.344
Hole Depth (km),11.011
Hole Depth (km),8.345
Hole Depth (km),10.985
Hole Depth (km),8.371
Hole Depth (km),10.984
Hole Depth (km),8.372
Hole Depth (km),10.986
Hole Depth (km),8.369
Hole Depth (km),10.988
Hole Depth (km),8.37
Hole Depth (km),10.987
Hole Depth (km),8.373
Hole Depth (km),10.98
Hole Depth (km),8.376
Hole Depth (km),10.979
Hole Depth (km),8.377
Hole Depth (km),10.981
Hole Depth (km),8.374
Hole Depth (km),10.983
Hole Depth (km),8.375
